1	12	İdârî Birimin Yeni Harflerle Adı	Eski Harflerle Adı	Unvani 1 raw	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli raw	Bagli 1 1	Bagli 1 2	Bagli 1 3	Bagli 1 4	Unvani 2 raw	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 raw	Bagli 2 1	Bagli 2 2	Bagli 2 3	Bagli 2 4	Unvani 3 raw	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 raw	Bagli 3 1	Bagli 3 2	Bagli 3 3	Bagli 3 4	Unvani 4 raw	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 raw	Bagli 4 1	Bagli 4 2	Bagli 4 3	Bagli 4 4	Unvani 5 raw	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 raw	Bagli 5 1	Bagli 5 2	Bagli 5 3	Bagli 5 4	Unvani 6 raw	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 raw	Bagli 6 1	Bagli 6 2	Bagli 6 3	Bagli 6 4	Unvani 7	Bagli 7	Unvani 8	Bagli 8	Unvani 9	Bagli 9	Unvani 10	Bagli 10	Unvani 11	Bagli 11	Unvani 12	Bagli 12	Unvani 13	Bagli 13	Unvani 14	Bagli 14
31	31	ACLUN	عجلون	Sancak (16.yy.)	Sancak	16. yy.		Şam eyâleti				Şam eyâleti	Kaza (1865)	Kaza	1865		Havran>Suriye vilâyeti			Havran	Suriye vilâyeti	Kaza (1964)	Kaza	1964		İrbit>Suriye			İrbit	Suriye																																											
32	32	ACUR (Acur Kal‘a)	عجور	Sancak (17.yy.)	Sancak	17. yy.		Şehrizor eyâleti				Şehrizor eyâleti																																																													
33	33	ACÛZE	عجوزه	Nahiye	Nahiye			Merkez>Musul>Diyarbakır eyâleti		Merkez	Musul	Diyarbakır eyâleti																																																													
34	34	ACYUD (ADJUD)	آجيود	Şehir	Şehir			Botine>Boğdan>Romanya		Botine	Boğdan	Romanya																																																													
35	35	AÇMİYAÇİN (Etchmiadzin)	اچمياچين	Kaza (Ermenilerin en eski ve kutsal saydıkları manastırı bu kazadadır. Diğerleri Türkiye’de Sis ve Ahtamar manastırlarıdır.)	Kaza		Ermenilerin en eski ve kutsal saydıkları manastırı bu kazadadır. Diğerleri Türkiye’de Sis ve Ahtamar manastırlarıdır.	Erivan>Ermenistan			Erivan	Ermenistan																																																													
36	36	ADA	آطه	Nahiye (1865)	Nahiye	1865		Merkez>Edirne>Edirne vilâyeti		Merkez	Edirne	Edirne vilâyeti	Köy	Köy			Küplü>Meriç>Edirne		Küplü	Meriç	Edirne																																																				
37	37	ADA	آطه	Ada	Ada			Bakis>Macaristan			Bakis	Macaristan																																																													
38	38	Adagide (OVAKENT)	آطه گيده	Nahiye	Nahiye			Ödemiş>İzmir			Ödemiş	İzmir																																																													
39	39	ADAKALE	آطه قلعه	Kaza Mrk. (1949)	Kaza merkezi	1949		Ardanuç>Artvin			Ardanuç	Artvin																																																													
40	40	ADAKALESİ	آطه قلعه سی	Nahiye (1846)	Nahiye	1846		Merkez>Vidin>Vidin eyâleti		Merkez	Vidin	Vidin eyâleti																																																													
41	41	ADAKLI	آداقلی	Nahiye Mrk.	Nahiye merkezi			Göktaş>Borçka>Artvin		Göktaş	Borçka	Artvin																																																													
42	42	ADAKLI (Hösnek) (Azakpert)	آداقلی	Nahiye (1865)	Nahiye	1865		Kiğı>Erzurum>Erzurum		Kiğı	Erzurum	Erzurum	Nahiye (1936)	Nahiye	1936		Kiğı>Bingöl			Kiğı	Bingöl	Kaza (1990)	Kaza	1990		Bingöl				Bingöl																																											
43	43	ADAKSU (Şebboy)	آداقصو	Köy	Köy			Sultanmud>Malazgirt>Bitlis		Sultanmud	Malazgirt	Bitlis	Nahiye Mrk.	Nahiye merkezi			Karahasan>Malazgirt>Muş		Karahasan	Malazgirt	Muş																																																				
44	44	Adala (KARATAŞ)	آطله	Kaza (~1530)	Kaza	~1530		Saruhan>Anadolu eyâleti			Saruhan	Anadolu eyâleti	Nahiye (1882)	Nahiye	1882		Salihli>Manisa			Salihli	Manisa																																																				
45	45	ADALAR (Büyükada)	آطه لر	Sancak (1878)	Sancak	1878		Şehremâneti				Şehremâneti	Kaza	Kaza			Şehremâneti				Şehremâneti	Kaza (1909)	Kaza	1909		İstanbul				İstanbul																																											
46	46	ADANA	آطنه (ادنه)	Sancak (1517)	Sancak	1517		Arap vilâyeti				Arap vilâyeti	Sancak (1520)	Sancak	1520		Halep eyâleti				Halep eyâleti	Eyâlet (1608)	Eyâlet	1608		Adana eyâleti				Adana eyâleti	Sancak (1865)	Sancak	1865		Halep vilâyeti				Halep vilâyeti	Vilâyet (1869)	Vilâyet	1869		Adana vilâyeti				Adana vilâyeti																									
47	47	ADAÖREN (Adaviran)	آطه ويران	Nahiye	Nahiye			Beypazarı>Ankara			Beypazarı	Ankara	Köy	Köy			Merkez>Beypazarı>Ankara		Merkez	Beypazarı	Ankara																																																				
48	48	ADAPAZARI (Ada)	آطه پازاری	Kaza (~1530)	Kaza	~1530		Kocaeli>Anadolu eyâleti			Kocaeli	Anadolu eyâleti	Kaza (1878)	Kaza	1878		Kocaeli>Şehremâneti			Kocaeli	Şehremâneti	Kaza (1924)	Kaza	1924		Kocaeli				Kocaeli	Vilâyet Mrk. (1954)	Vilâyet merkezi	1954		Sakarya				Sakarya																																		
49	49	ADEM	آدم	Nahiye (Bahreyn ve Umman’da da bu adda nahiyeler vardır)	Nahiye		Bahreyn ve Umman’da da bu adda nahiyeler vardır	Hicaz>S. Arabistan			Hicaz	S. Arabistan																																																													
50	50	ADEN	عدن	Sancak (1539)	Sancak	1539		Taizz>Yemen eyâleti			Taizz	Yemen eyâleti	Kaza (1630)	Kaza	1630		Taizz>Yemen eyâleti			Taizz	Yemen eyâleti																																																				
51	51	ADESSE (Vodina)	آدسّه	Kaza	Kaza			Selânik>Selânik>Yunanistan		Selânik	Selânik	Yunanistan																																																													
52	52	ADIYAMAN (Hısn-ı Mansur)	آدی يامان	Kaza (1924)	Kaza	1924		Malatya				Malatya	Vilâyet (1954)	Vilâyet	1954		Adıyaman				Adıyaman																																																				
53	53	ADİD	عديد	Nahiye (1875)	Nahiye	1875		Katar>Basra>Basra vilâyeti		Katar	Basra	Basra vilâyeti																																																													
54	54	ADİLCEVAZ	عادلجواز	Sancak (1550)	Sancak	1550		Van eyâleti				Van eyâleti	Kaza (1846)	Kaza	1846		Van>Van eyâleti			Van	Van eyâleti	Kaza (1912)	Kaza	1912		Van>Van vilâyeti			Van	Van vilâyeti	Nahiye (1926)	Nahiye	1926		Ahlat>Bitlis			Ahlat	Bitlis	Kaza (1936)	Kaza	1936		Bitlis				Bitlis																									
55	55	ADLİYE	عدليه	Kaza (1864)	Kaza	1864		Vidin>Tuna vilâyeti			Vidin	Tuna vilâyeti																																																													
56	56	Adranos (ORHANELİ)	آطرانوس	Kaza	Kaza			Hudavendigâr>Anadolu eyâleti			Hudavendigâr	Anadolu eyâleti	Kaza (1867)	Kaza	1867		Bursa>Hudavendigâr vilâyeti			Bursa	Hudavendigâr vilâyeti	Kaza (1924)	Kaza	1924		Bursa				Bursa																																											
57	57	ADRİYA	آدريا	Şehir	Şehir			Venedik>İtalya			Venedik	İtalya																																																													
58	58	AFAR	عفار	Nahiye (1871)	Nahiye	1871		Hıcce>Sana>Yemen vilâyeti		Hıcce	Sana	Yemen vilâyeti																																																													
59	59	Afgan (GÜNDOĞAN)	افغان	Nahiye (1865)	Nahiye	1865		Karaman>Konya>Konya vilâyeti		Karaman	Konya	Konya vilâyeti	Köy	Köy			Bucakkışla>Merkez>Karaman		Bucakkışla	Merkez	Karaman																																																				
60	60	AFŞAR	آفشار	Kaza (~1530)	Kaza	~1530		Hamid>Anadolu eyâleti			Hamid	Anadolu eyâleti	Nahiye (1865)	Nahiye	1865		Ş. Karaağaç>Konya vilâyeti			Şarkikaraağaç	Konya vilâyeti	Köy	Köy			Merkez>Gelendost>Isparta		Merkez	Gelendost	Isparta																																											
61	61	AFŞAR (Avşar)	آفشار	Nahiye (1865)	Nahiye	1865		Suşehri>K.Hisar-ı Şarkî>Sivas vilâyeti		Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	Köy	Köy			Akıncılar>Suşehri>Sivas		Akıncılar	Suşehri	Sivas																																																				
62	62	AFŞİN (Yarpuz, Efsus)	آفشين	Nahiye	Nahiye			Elbistan>Maraş			Elbistan	Maraş	Kaza (1944)	Kaza	1944		Kahramanmaraş				Kahramanmaraş																																																				
63	63	AFYONKARAHİSAR (Afyon) (Karahisar-ı Sahib) (Osmanlı döneminde Karahisar-ı Sahib, Cumhuriyetle birlikte Afyonkarahisar, bir müddet sonra Afyon, 2005 yılında yine Afyonkarahisar denildi.)	آفيون قره حصار	Sancak (1428)	Sancak	1428		Anadolu eyâleti				Anadolu eyâleti	Sancak (1841)	Sancak	1841		Hudavendigâr eyâleti				Hudavendigâr eyâleti	Sancak (1867)	Sancak	1867		Hudavendigâr vilâyeti				Hudavendigâr vilâyeti	Vilâyet (1924)	Vilâyet	1924		Afyonkarahisar				Afyonkarahisar																																		
64	64	AĞABEYLİ (Bertiz)	آغا بکلی	Nahiye	Nahiye			Merkez>Kahramanmaraş			Merkez	Kahramanmaraş																																																													
65	65	AĞAÇELİ (Ilıcalar, Fahran)	آغاچ ايلی	Nahiye	Nahiye			Merkez>Bingöl			Merkez	Bingöl																																																													
66	66	AĞAÇLI (Çıska, Cıksı)	آغاچلی	Nahiye (19.yy.)	Nahiye	19. yy.		Merkez>Âmid>Diyarbakır eyâleti		Merkez	Âmid	Diyarbakır eyâleti	Nahiye (1924)	Nahiye	1924		Kulp>Diyarbakır vilâyeti			Kulp	Diyarbakır vilâyeti																																																				
67	67	AĞAÇLI	آغاچلی	Kaza (1887)	Kaza	1887		Kocaeli>Hudâvendigâr vilâyeti			Kocaeli	Hudavendigâr vilâyeti																																																													
68	68	AĞAÇÖREN (Panlı)	آغاچ اوره ن	Nahiye (1924)	Nahiye	1924		Ş. Koçhisar>Aksaray			Şereflikoçhisar	Aksaray	Nahiye (1933)	Nahiye	1933		Ş. Koçhisar>Ankara			Şereflikoçhisar	Ankara	Kaza (1990)	Kaza	1990		Aksaray				Aksaray																																											
69	69	AĞAKİS	آغاکس	Sancak (1550)	Sancak	1550		Van eyâleti				Van eyâleti	Kaza (1830)	Kaza	1830		Van>Van eyâleti			Van	Van eyâleti																																																				
70	70	AĞCALAR ve ASKER	آغجه لر و عسکر	Nahiye	Nahiye			Merkez>Süleymaniye>Bağdad eyâleti		Merkez	Süleymaniye	Bağdad eyâleti																																																													
71	71	AĞCALAR (Kale-i Sebûke)	آغجه لر	Nahiye	Nahiye			Bazyan>Musul vilâyeti			Bazyan	Musul vilâyeti																																																													
72	72	AĞIN	آغين	Nahiye (19.yy.)	Nahiye	19. yy.		Merkez>Arapkir>Diyarbakır eyâleti		Merkez	Arapkir	Diyarbakır eyâleti	Nahiye	Nahiye			Kemaliye>Malatya>Mam.retülaziz vilâyeti		Kemaliye	Malatya	Mamûretülaziz vilâyeti	Kaza (1954)	Kaza	1954		Elâzığ				Elâzığ																																											
73	73	AĞLASUN	آغلاسون	Kaza (~1530)	Kaza	~1530		Hamid>Anadolu eyâleti			Hamid	Anadolu eyâleti	Kaza (1846)	Kaza	1846		Hamid>Karaman eyâleti			Hamid	Karaman eyâleti	Nahiye (1865)	Nahiye	1865		Merkez>Burdur>Konya vilâyeti		Merkez	Burdur	Konya vilâyeti	Kaza (1958)	Kaza	1958		Burdur				Burdur																																		
74	74	AĞLI	آغلی	Nahiye	Nahiye			Küre>Kastamonu			Küre	Kastamonu	Kaza (~1990)	Kaza	~1990		Kastamonu				Kastamonu																																																				
75	75	Agonya (HAMDİBEY) (Koyuneli)	آغونيه	Nahiye (~1530)	Nahiye	~1530		Balya>Biga>Anadolu eyâleti		Balya	Biga	Anadolu eyâleti	Nahiye (1909)	Nahiye	1909		Edremid>Karesi sancağı			Edremit	Karesi sancağı	Nahiye (Agonya nahiyesi lağvedilmiş, Mrk. olan Koyuneli k.yü halen Yenice’nin Hamdibey bucağıdır.)	Nahiye		Agonya nahiyesi lağvedilmiş, Mrk. olan Koyuneli k.yü halen Yenice’nin Hamdibey bucağıdır.	Edremid>Balıkesir.			Edremit	Balıkesir																																											
76	76	AĞRI (Karaköse)	آغری	Vilâyet (1938)	Vilâyet	1938	~1925’te bu bölgede Bayazıt Vilâyeti kuruldu. Vilâyet merkezi 1927’de Karaköse’ye taşınınca Karaköse adını aldı. 1938’de adı Ağrı oldu.	Ağrı				Ağrı																																																													
77	77	AĞRIBOZ (Eğriboz) (Eubee) (Ege’de Girit’ten sonra ikinci büyük ada, 1821’de kaybedildi.)	آغريبوز	Sancak (1470)	Sancak	1470		Rumeli eyâleti				Rumeli eyâleti	Sancak (1533)	Sancak	1533		Kaptanpaşa eyâleti				Kaptanpaşa eyâleti	Eyâlet (1829)	Eyâlet	1829		Yunanistan				Yunanistan																																											
78	78	Ağrus (ATABEY)	آغروس	Nahiye (~1530)	Nahiye	~1530		Eğirdir>Hamid>Anadolu eyâleti		Eğirdir	Hamid	Anadolu eyâleti	Nahiye (1865)	Nahiye	1865		Merkez>Hamid>Konya vilâyeti		Merkez	Hamid	Konya vilâyeti	Nahiye (1924)	Nahiye	1924		Merkez>Isparta			Merkez	Isparta	Kaza	Kaza			Isparta				Isparta																																		
79	79	Ağunsos (ÇAYIRÖZÜ)	آغنصوص	Nahiye (1865)	Nahiye	1865		Bayburt>Erzurum>Erzurum vilâyeti		Bayburt	Erzurum	Erzurum vilâyeti	Köy	Köy			Merkez>Bayburt Gümüşhane			Merkez	Bayburt Gümüşhane	Köy	Köy			Merkez>Merkez>Bayburt		Merkez	Merkez	Bayburt																																											
80	80	AĞUSTOS (Niyaoste)	آغوستوس	Nahiye	Nahiye			Karaferye>Selânik>Yunanistan		Karaferye	Selânik	Yunanistan																																																													
81	81	Ağva (YEŞİLÇAY)	آغوا	Nahiye (1926)	Nahiye	1926		Şile>İstanbul			Şile	İstanbul																																																													
82	82	Ağvanis (GÖLOVA)	آغوانيس	Nahiye (1867)	Nahiye	1867		Suşehri>K. Hisar-ı Şarkî>Sivas vilâyeti		Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	Nahiye (1924)	Nahiye	1924		Suşehri>Şebinkarahisar			Suşehri	Şebinkarahisar	Nahiye (1933)	Nahiye	1933		Suşehri>Sivas vilâyeti			Suşehri	Sivas vilâyeti	Kaza (1990)	Kaza	1990		Sivas				Sivas																																		
83	83	AHALT	آحلت	Kaza Mrk. (1950)	Kaza merkezi	1950		Yusufeli>Artvin			Yusufeli	Artvin																																																													
84	84	AHAT	احد	Nahiye (1865)	Nahiye	1865		Sultaniye>Gümülcine>Edirne vilâyeti		Sultaniye	Gümülcine	Edirne vilâyeti	Nahiye (1919)	Nahiye	1919		Sultaniye>Gümülcine>Yunanistan		Sultaniye	Gümülcine	Yunanistan																																																				
85	85	AHEM	عا هم	Nahiye (1871)	Nahiye	1871		Hacur>Hudeyde>Yemen vilâyeti		Hacur	Hudeyde	Yemen vilâyeti																																																													
86	86	AHILKALAK ve MAÇAHEL	آخالقلاک وماچه خل	Sancak (1578)	Sancak	1578		Çıldır eyâleti				Çıldır eyâleti																																																													
87	87	AHIRLI	آخورلی	Nahiye	Nahiye			Bozkır>Konya			Bozkır	Konya	Kaza (1990)	Kaza	1990		Konya				Konya																																																				
88	88	AHISKA (Ahısha)	آخسخه	Eyâlet Mrk. (1625)	Eyâlet merkezi	1625		Çıldır eyâleti				Çıldır eyâleti	Eyâlet Mrk. (1828)	Eyâlet merkezi	1828		Rusya yönetimi				Rusya yönetimi	Şehir	Şehir			Gürcistan yönetimi				Gürcistan yönetimi																																											
89	89	AHİÇELEBİ (Smoljan) (Paşmaklı)	آخی چلبی	Kaza (1877)	Kaza	1877		Filibe>Edirne vilâyeti			Filibe	Edirne vilâyeti	Kaza	Kaza			Gümülcine>Edirne			Gümülcine	Edirne	Kaza (1919)	Kaza	1919		Yunanistan				Yunanistan																																											
90	90	AHLAT	آخلاط	Sancak	Sancak			Van eyâleti				Van eyâleti	Sancak Mrk. (1800)	Sancak merkezi	1800		Adilcevaz>Van eyâleti			Adilcevaz	Van eyâleti	Kaza (1846)	Kaza	1846		Van>Van eyâleti			Van	Van eyâleti	Kaza (1855)	Kaza	1855		Muş>Erzurum eyâleti			Muş	Erzurum eyâleti	Kaza (1880)	Kaza	1880		Bitlis>Bitlis vilâyeti			Bitlis	Bitlis vilâyeti	Kaza (1935)	Kaza	1935		Bitlis				Bitlis																
91	91	AHMETBEY	احمد بک	Nahiye	Nahiye			Lüleburgaz>Kırkkilise>Edirne vilâyeti		Lüleburgaz	Kırkkilise	Edirne vilâyeti	Kasaba	Kasaba			Büyükkarıştıran>Lüleburgaz>Kırklareli		Büyükkarıştıran	Lüleburgaz	Kırklareli																																																				
92	92	AHMETLER	احمدلر	Nahiye Mrk.	Nahiye merkezi			Kozcağız>Bartın>Zonguldak		Kozcağız	Bartın	Zonguldak																																																													
93	93	AHMETLİ	احمدلی	Nahiye	Nahiye			Turgutlu>Manisa			Turgutlu	Manisa	Kaza (~1990) (Eski “Ilıca-i Saruhan” kazası bölgesinde kuruldu.)	Kaza	~1990	Eski “Ilıca-i Saruhan” kazası bölgesinde kuruldu.)	Manisa				Manisa																																																				
94	94	AHMETLİ (Güran) (Pirahmet)	احمدلی	Nahiye	Nahiye			Ergani>Diyarbakır			Ergani	Diyarbakır																																																													
95	95	AHMET SARAY	احمدسرای	Nahiye (1865)	Nahiye	1865		Lâdik>Amasya>Sivas vilâyeti		Lâdik	Amasya	Sivas vilâyeti	Köy	Köy			Merkez>Lâdik>Samsun		Merkez	Lâdik	Samsun																																																				
96	96	AHSA (Necd-i Şarkî) (El-Hufûf)	احسا	Eyâlet	Eyâlet			Ahsa eyâleti				Ahsa eyâleti	Sancak (1871)	Sancak	1871		Bağdad vilâyeti				Bağdad vilâyeti	Sancak (1874)	Sancak	1874		Necd vilâyeti				Necd vilâyeti	Sancak (1875)	Sancak	1875		Basra vilâyeti				Basra vilâyeti	Sancak (1880)	Sancak	1880		Bağdad vilâyeti				Bağdad vilâyeti	Sancak (1884)	Sancak	1884		Basra vilâyeti				Basra vilâyeti																
97	97	AHSENDERE	احسن دره	Nahiye (Elbistan’ın güneybatısında ve Kabaktepe k.yü civarında idi.)	Nahiye		Elbistan’ın güneybatısında ve Kabaktepe köyü civarında idi.	Maraş>Maraş>Zülkadriye eyâleti		Maraş	Maraş	Zülkadriye eyâleti																																																													
98	98	AHTAMAR	آختمار	Ada (Ermeni ruhanî merkezlerinden biri olan Ahtamar manastırı bu adada)	Ada		Ermeni ruhanî merkezlerinden biri olan Ahtamar manastırı bu adada	Van g.lü				Van gölü																																																													
99	99	AHTOPOL (Agoto-Polis) (Vasiliko)	آخته پولی	Kaza (1865)	Kaza	1865		Kırkkilise>Edirne			Kırkkilise	Edirne	Kaza (1913)	Kaza	1913		Burgaz>Bulgaristan			Burgaz	Bulgaristan																																																				
100	100	AHYOLU (Poromorie)	آخيولی	Kaza	Kaza			Burgaz>Bulgaristan			Burgaz	Bulgaristan																																																													
101	101	Ahyolu Burgazı (BURGAZ)	آخيولی بورغازی	Sancak (1878)	Sancak	1878		Rumeli-i Şarkî vilâyeti				Rumeli-i Şarkî vilâyeti	Sancak (1908)	Sancak	1908		Bulgaristan				Bulgaristan																																																				
102	102	Akâbâd (AKÇAOVA)	آق آباد	Kaza (~1845)	Kaza	~1845		Kocaeli>Hudavendigâr eyâleti			Kocaeli	Hudavendigâr eyâleti	Nahiye (1878)	Nahiye	1878		Kandıra>İzmit>Şehremâneti		Kandıra	İzmit	Şehremâneti	Nahiye (1924)	Nahiye	1924		Kandıra>Kocaeli			Kandıra	Kocaeli																																											
