ABADAN ,عبادان,Şehir#Şehir#Basra#İran (1847) (Erzurum Antlaşmasıyla İran’a verildi.)#
ACUR (Acur Kal‘a) ,عجور ,Sancak (17.yy.) Şehrizor eyâleti#
ACÛZE ,عجوزه ,Nahiye MerkezMusulDiyarbakır eyâleti#
ACYUD (ADJUD) ,آجيود ,Şehir BotineBoğdanRomanya#
AÇMİYAÇİN (Etchmiadzin) ,اچمياچين ,Kaza (Ermenilerin en eski ve#kutsal saydıkları manastırı#bu kazadadır. Diğerleri#Türkiye’de Sis ve Ahtamar#manastırlarıdır.#ErivanErmenistan#
ADA ,آطه ,Nahiye (1865)#Köy#MerkezEdirneEdirne vilâyeti#KüplüMeriçEdirne#
ADA ,آطه ,Ada BakisMacaristan#
Adagide (OVAKENT) ,آطه گيده ,Nahiye Ödemişİzmir#
ADAKALE ,آطه قلعه ,Kaza Mrk. (1949) ArdanuçArtvin#
ADAKALESİ ,آطه قلعه سی ,Nahiye (1846) MerkezVidinVidin eyâleti#
ADAKLI ,آداقلی ,Nahiye Mrk. GöktaşBorçkaArtvin#
ADAKLI (Hösnek) (Azakpert) ,آداقلی ,Nahiye (1865)#Nahiye (1936)#Kaza (1990)#KiğıErzurumErzurum#KiğıBingöl#Bingöl#
ADAKSU (Şebboy) ,آداقصو ,Köy#Nahiye Mrk.#SultanmudMalazgirtBitlis#KarahasanMalazgirtMuş#
Adala (KARATAŞ) ,آطله ,Kaza (1530)#Nahiye (1882)#SaruhanAnadolu eyâleti#SalihliManisa#
ADALAR (Büyükada) ,آطه لر ,Sancak (1878)#Kaza#Kaza (1909)#Şehremâneti#Şehremâneti#İstanbul#
ADANA ,آطنه (ادنه) ,Sancak (1517)#Sancak (1520)#Eyâlet (1608)#Sancak (1865)#Vilâyet (1869)#Arap vilâyeti#Halep eyâleti#Adana eyâleti#Halep vilâyeti#Adana vilâyeti#
ADAÖREN (Adaviran) ,آطه ويران ,Nahiye#Köy#BeypazarıAnkara#MerkezBeypazarıAnkara#
ADAPAZARI (Ada) ,آطه پازاری ,Kaza (1530)#Kaza (1878)#Kaza (1924)#Vilâyet Mrk. (1954)#KocaeliAnadolu eyâleti#KocaeliŞehremâneti#Kocaeli#Sakarya#
ADEM ,آدم ,Nahiye (Bahreyn ve#Umman’da da bu adda#nahiyeler vardır)#HicazS. Arabistan#
ADEN ,عدن ,Sancak (1539)#Kaza (1630)#TaizzYemen eyâleti#TaizzYemen eyâleti#
ADESSE (Vodina) ,آدسّه ,Kaza SelânikSelânikYunanistan#
ADIYAMAN (Hısn-ı Mansur) ,آدی يامان ,Kaza(1924)#Vilâyet (1954)#Malatya#Adıyaman#
ADİD ,عديد ,Nahiye (1875) Katar  Basra  Basra vilâyeti#
ADİLCEVAZ ,عادلجواز ,Sancak (1550)#Kaza (1846)#Kaza (1912)#Nahiye (1926)#Kaza (1936)#Van eyâleti#VanVan eyâleti#VanVan vilâyeti#AhlatBitlis#Bitlis#
ADLİYE ,عدليه ,Kaza (1864) VidinTuna vilâyeti#
Adranos (ORHANELİ) ,آطرانوس ,Kaza#Kaza (1867)#Kaza (1924)#HudavendigârAnadolu eyâleti#BursaHudavendigâr vilâyeti#Bursa#
ADRİYA ,آدريا ,Şehir Venedikİtalya#
AFAR ,عفار ,Nahiye (1871) HıcceSanaYemen vilâyeti#
Afgan (GÜNDOĞAN) ,افغان ,Nahiye (1865)#Köy#KaramanKonyaKonya vilâyeti#BucakkışlaMerkezKaraman#
AFŞAR ,آفشار ,Kaza (1530)#Nahiye (1865)#Köy#HamidAnadolu eyâleti#Ş. KaraağaçKonya vilâyeti#MerkezGelendostIsparta#
AFŞAR (Avşar) ,آفشار ,Nahiye (1865)#Köy#SuşehriK.Hisar-ı ŞarkîSivas vilâyeti#AkıncılarSuşehriSivas#
"AFŞİN (Yarpuz, Efsus) ",آفشين ,Nahiye#Kaza (1944)#ElbistanMaraş#Kahramanmaraş#
"AFYONKARAHİSAR (Afyon) (Karahisar-ı Sahib) (Osmanlı döneminde Karahisar-ı Sahib, Cumhuriyetle birlikte Afyonkarahisar, bir müddet sonra Afyon, 2005 yılında yine Afyonkarahisar denildi.) ",آفيون قره حصار ,Sancak (1428)#Sancak (1841)#Sancak (1867)#Vilâyet (1924)#Anadolu eyâleti#Hudavendigâr eyâleti#Hudavendigâr vilâyeti#Afyonkarahisar#
AĞABEYLİ (Bertiz) ,آغا بکلی ,Nahiye MerkezKahramanmaraş#
"AĞAÇELİ (Ilıcalar, Fahran) ",آغاچ ايلی ,Nahiye MerkezBingöl#
"AĞAÇLI (Çıska, Cıksı) ",آغاچلی ,Nahiye (19.yy.)#Nahiye (1924)#MerkezÂmidDiyarbakır eyâleti#KulpDiyarbakır vilâyeti#
AĞAÇLI ,آغاچلی ,Kaza (1887) KocaeliHudâvendigâr vilâyeti#
AĞAÇÖREN (Panlı) ,آغاچ اوره ن ,Nahiye (1924)#Nahiye (1933)#Kaza (1990)#Ş. KoçhisarAksaray#Ş. KoçhisarAnkara#Aksaray#
AĞAKİS ,آغاکس ,Sancak (1550)#Kaza (1830)#Van eyâleti#VanVan eyâleti#
AĞCALAR ve ASKER ,آغجه لر و عسکر ,Nahiye MerkezSüleymaniyeBağdad eyâleti#
AĞCALAR (Kale-i Sebûke) ,آغجه لر ,Nahiye BazyanMusul vilâyeti#
AĞIN ,آغين ,Nahiye (19.yy.)#Nahiye#Kaza (1954)#MerkezArapkirDiyarbakır eyâleti#KemaliyeMalatyaMam.retülaziz vilâyeti#Elâzığ#
AĞLASUN ,آغلاسون ,Kaza (1530)#Kaza (1846)#Nahiye (1865)#Kaza (1958)#HamidAnadolu eyâleti#HamidKaraman eyâleti#MerkezBurdurKonya vilâyeti#Burdur#
AĞLI ,آغلی ,Nahiye#Kaza (1990)#KüreKastamonu#Kastamonu#
Agonya (HAMDİBEY) (Koyuneli) ,آغونيه ,"Nahiye (1530)#Nahiye (1909)#Nahiye (Agonya nahiyesi#lağvedilmiş, Mrk. olan Koyuneli#k.yü halen Yenice’nin#Hamdibey bucağıdır.)#BalyaBigaAnadolu eyâleti#EdremidKaresi sancağı#EdremidBalıkesir.#"
AĞRI (Karaköse) ,آغری ,Vilâyet (1938) Ağrı (1925’te bu bölgede Bayazıt Vilâyeti kuruldu.#Vilâyet merkezi 1927’de Karaköse’ye taşınınca Karaköse#adını aldı. 1938’de adı Ağrı oldu.)#
"AĞRIBOZ (Eğriboz) (Eubee) (Ege’de Girit’ten sonra ikinci büyük ada, 1821’de kaybedildi.) ",آغريبوز ,Sancak (1470)#Sancak (1533)#Eyâlet (1829)#Rumeli eyâleti#Kaptanpaşa eyâleti#Yunanistan#
Ağrus (ATABEY) ,آغروس ,Nahiye (1530)#Nahiye (1865)#Nahiye (1924)#Kaza#EğirdirHamidAnadolu eyâleti#MerkezHamidKonya vilâyeti#MerkezIsparta#Isparta#
Ağunsos (ÇAYIRÖZÜ) ,آغنصوص ,Nahiye (1865)#Köy#Köy#BayburtErzurumErzurum vilâyeti#MerkezBayburt Gümüşhane#MerkezMerkezBayburt#
AĞUSTOS (Niyaoste) ,آغوستوس ,Nahiye KaraferyeSelânikYunanistan#
Ağva (YEŞİLÇAY) ,آغوا ,Nahiye (1926) Şileİstanbul#
Ağvanis (GÖLOVA) ,آغوانيس ,Nahiye (1867)#Nahiye (1924)#Nahiye (1933)#Kaza (1990)#SuşehriK. Hisar-ı ŞarkîSivas vilâyeti#SuşehriŞebinkarahisar#SuşehriSivas vilâyeti#Sivas#
AHALT ,آحلت ,Kaza Mrk. (1950) YusufeliArtvin#
AHAT ,احد ,Nahiye (1865)#Nahiye (1919)#SultaniyeGümülcineEdirne vilâyeti#SultaniyeGümülcineYunanistan#
AHEM ,عا هم ,Nahiye (1871) HacurHudeydeYemen vilâyeti#
AHILKALAK ve MAÇAHEL ,آخالقلاک وماچه خل ,Sancak (1578) Çıldır eyâleti#
AHIRLI ,آخورلی ,Nahiye#Kaza (1990)#BozkırKonya#Konya#
AHISKA (Ahısha) ,آخسخه ,Eyâlet Mrk. (1625)#Eyâlet Mrk. (1828)#Şehir#Çıldır eyâleti#Rusya yönetimi#Gürcistan yönetimi#
AHİÇELEBİ (Smoljan) (Paşmaklı) ,آخی چلبی ,Kaza (1877)#Kaza#Kaza (1919)#FilibeEdirne vilâyeti#GümülcineEdirne#Yunanistan#
AHLAT ,آخلاط ,Sancak#Sancak Mrk. (1800)#Kaza (1846)#Kaza (1855)#Kaza (1880)#Kaza (1935)#Van eyâleti#AdilcevazVan eyâleti#VanVan eyâleti#MuşErzurum eyâleti#BitlisBitlis vilâyeti#Bitlis#
AHMETBEY ,احمد بک ,Nahiye#Kasaba#LüleburgazKırkkiliseEdirne vilâyeti#BüyükkarıştıranLüleburgazKırklareli#
AHMETLER ,احمدلر ,Nahiye Mrk. KozcağızBartınZonguldak#
AHMETLİ ,احمدلی ,Nahiye#Kaza (1990) (Eski “Ilıca-i#Saruhan” kazası bölgesinde#kuruldu.)#TurgutluManisa#Manisa#
AHMETLİ (Güran) (Pirahmet) ,احمدلی ,Nahiye ErganiDiyarbakır#
AHMET SARAY ,احمدسرای ,Nahiye (1865)#Köy#LâdikAmasyaSivas vilâyeti#MerkezLâdikSamsun#
AHSA (Necd-i Şarkî) (El-Hufûf) ,احسا ,Eyâlet#Sancak (1871)#Sancak (1874)#Sancak (1875)#Sancak (1880)#Sancak (1884)#Ahsa eyâleti#Bağdad vilâyeti#Necd vilâyeti#Basra vilâyeti#Bağdad vilâyeti#Basra vilâyeti#
AHSENDERE ,احسن دره ,Nahiye (Elbistan’ın#güneybatısında ve Kabaktepe#k.yü civarında idi.)#MaraşMaraşZülkadriye eyâleti#
AHTAMAR ,آختمار ,Ada (Ermeni ruhanî#merkezlerinden biri olan#Ahtamar manastırı bu adada)#Van g.lü#
AHTOPOL (Agoto-Polis) (Vasiliko) ,آخته پولی ,Kaza (1865)#Kaza (1913)#KırkkiliseEdirne#BurgazBulgaristan#
AHYOLU (Poromorie) ,آخيولی ,Kaza BurgazBulgaristan#
Ahyolu Burgazı (BURGAZ) ,آخيولی بورغازی ,Sancak (1878)#Sancak (1908)#Rumeli-i Şarkî vilâyeti#Bulgaristan#
Akâbâd (AKÇAOVA) ,آق آباد ,Kaza (1845)#Nahiye (1878)#Nahiye (1924)#KocaeliHudavendigâr eyâleti#KandıraİzmitŞehremâneti#KandıraKocaeli#
AKABE (Kal‘atü‘l-Akabe) (Akabetü‘l-Eyle) ,عقبه ,Nahiye#Kaza (1910)#Kaza#El-vechMedineHicaz vilâyeti#Hicaz vilâyeti#.rdün (Kızıldeniz kenarında antik “Eyle” kentine giriş#boğazında olduğu için “Akabe-i Eyle” denildi sonra yalnız#“Akabe” s.zü kullanıldı.)#
AKARSU (İstilil) ,آقارصو ,Nahiye NusaybinMardin#
AKARSU (Alakilise) ,آقارصو ,Nahiye (1865)#Nahiye (1924)#RefahiyeErzincanErzurum vilayeti.#Refahiye Erzincan#
AKÇAÂBÂD (Polathane) ,آقچه آباد ,Nahiye#Kaza#Kaza (1924)#MerkezTrabzonRum eyâleti#Trabzon Trabzon eyâleti#Trabzon#
Akçaâbâd (AKÇAOVA) ,آقچه آباد ,Nahiye#Nahiye#AyasuluğAydınAnadolu eyâleti#ÇineAydın#
AKÇADAĞ (Arga) ,آقچه طاغ ,Nahiye#Kaza (1834)#Kaza (1855)#Kaza (1877)#Kaza (1924)#MerkezMalatyaMam.retülaziz#Harput eyâleti#Diyarbakır eyâleti#Mam.retülaziz vilâyeti#Malatya#
AKÇAHİSAR ,آقچه حصار ,Nahiye (Şimdiki yeri tesbit#edilemedi. Manavgat’ın “Hisar”#mahallesi var.)#ManavgatAlâiyeAnadolu eyâleti#
AKÇAHİSAR (Krupa) ,آقچه حصار ,Kaza (1881)#Kaza#İskodraİşkodra vilâyeti#Dıraç İşkodra vilâyeti#
AKÇAKALE ,آقچه قلعه ,Sancak (1520)#Köy#Diyarbakır eyâleti#MerkezErgâniDiyarbakır#
AKÇAKALE ,آقچه قلعه ,Nahiye Hısn-ı keyf ve SiirdDiyarbakır#
AKÇAKALE (Harran bölgesinde kuruldu. Harran da nahiye olarak bu kazaya bağlandı.) ,آقچه قلعه ,Köy#Kaza (1946)#MerkezHarranUrfa#Şanlıurfa#
AKÇAKENT ,آقچه کند ,Nahiye#Kaza (1990)#ÇiçekdağıKırşehir#Kırşehir#
AKÇAKIŞLA (Ağcakışla) ,آقچه قشله ,Nahiye ŞarkışlaSivas#
AKÇAKOCA (Akçaşehir) ,آقچه قوجه ,Nahiye (1870-1933)#Kaza (1934)#Kaza (1999)#DüzceBolu#Bolu#Düzce#
AKÇAKOYUNLU (Haral) ,آقچه قويونلی ,Nahiye#Köy#AyıntabHalebHaleb vilâyeti#DoğanpınarOğuzeliG.Antep#
AKÇAN (Mercimekkale) (Sakavi) ,آقچان ,Nahiye#Naniye (1924)#MerkezMuşBitlis#MerkezMuş#
AKÇAOVA (Akçaâbâd) ,آقچه اووه ,Nahiye (1530)#Nahiye (1924)#AyasuluğAydınAnadolu eyâleti#ÇineAydın#
AKÇAOVA (Akçaâbâd) ,آقچه اووه ,Nahiye KandıraKocaeli#
AKÇAPINAR (Vaskovan) ,آقچه پيگار ,Nahiye (1777)#Nahiye (1926)#Nahiye (1935)#ÇemişgezekDersimMam.retülaziz#ÇemişgezekElâzığ#ÇemişgezekTunceli#
AKÇASIR (Aygün) ,آقچه سير ,Nahiye KulpDiyarbakır#
Akçaşehir (SÖKE) ,آقچه شهر ,Sancak Mrk. (17.yy.)#Kaza (1841)#Kaza (1867)#Kaza (1924)#SığlaKaptanpaşa eyâleti#SığlaAydın eyâleti#SığlaAydın vilâyeti#Aydın#
Akçaşehir (AKÇAKOCA) ,آقچه شهر ,Kaza (1841)#Nahiye (1865)#Nahiye (1933)#Kaza (1934)#Kaza (1999)#BoluKastamonu eyâleti#DüzceBoluKastamonu vilâyeti#DüzceBolu#Bolu#Düzce#
AKÇAŞEHİR ,آقچه شهر ,Kasaba#Kasaba (Eyâlet döneminde#Eskiil ve Hatinderbendi ile#ü.ü bir kaza oluşturmuştur.)#MerkezKaramanKonya#MerkezKaraman#
AKÇAY maa TERME ,آقچای مع ترمه ,Kaza (1585) CanikTrabzon eyâleti#
AKÇAY ,آقچای ,Köy MerkezTermeSamsun#
AKÇAY (Kaşçiftliği) ,آقچای ,Nahiye (1958) ElmalıAntalya#
Akdağ (Çayırşeyhi) (ÇAYIRALAN) ,آقطاغ ,Nahiye (16.yy.)#Nahiye (1872)#Nahiye (1924)#Kaza (1948)#BozokBozokZülkadriye eyâleti#BoğazlıyanYozgatAnkara vilâyeti#BoğazlıyanYozgat#Yozgat#
AKDAĞ (Zana=Çiğdemlik) ,آقطاغ ,Nahiye#Nahiye (1924)#MerkezAmasyaRum eyâleti#MerkezAmasya#
AKDAĞMADENİ ,آقطاغ معدنی ,Nahiye (1830)#Kaza (1860)#Kaza (1872)#Kaza (1924)#BozokSivas eyâleti#BozokBozok eyâleti#YozgatAnkara vilâyeti#Yozgat#
AKDEMİR Şavak (Abşeker) ,آقدمير ,Nahiye (1877)#Nahiye (1924)#Nahiye (1935)#PertekDersimMam.retülaziz vilâyeti#PertekElâzığ#PertekTunceli#
AKFAS ,اقفاص ,Kasaba Mısır eyâleti#
Akgevir (AKSU) ,آقگوير ,Nahiye#Köy#MerkezDiyarbakırDiyarbakır#MerkezMazıdağıMardin#
AKHİSAR (Bogovina) (İskovile=Vakıf) ,آقحصار ,Kaza (1866) TravnikBosna vilâyeti#
Akhisar (PAMUKOVA) ,آقحصار ,Kaza#Nahiye (1878)#Nahiye (1954)#Kaza (1990)#HudavendigârAnadolu eyâleti#GeyveİzmitŞehremâneti#GeyveSakarya#Sakarya#
AKHİSAR ,آقحصار ,Kaza#Kaza (1841)#Kaza (1924)#SaruhanAnadolu eyâleti#SaruhanAydın eyâleti#Manisa#
AKINCI (Kasır) ,آقنجی ,Nahiye MerkezMardin#
AKINCILAR (Ezbider) (Ezbider-i Bâlâ) ,آقنجيلر ,Nahiye (1924)#Nahiye (1933)#Kaza (1990)#SuşehriK.Hisar-i ŞarkîSivas#SuşehriSivas#Sivas#
AKINCILAR (Tokaris) ,آقنجيلر ,Nahiye (1877)#Nahiye (1924)#Nahiye (1954)#KâhtaMalatyaMam.retülaziz vilâyeti#KâhtaMalatya#KâhtaAdıyaman#
Akıncılar (SELÇUK) ,آقنجيلر ,"Nahiye#Kaza (1957) (Bir müddet#“Akıncılar” adıyla anılan Selçuk,#1957’de yine “Selçuk” adıyla#kaza oldu.)#Kuşadasıİzmir#İzmir#"
AKKA ,عکا ,Nahiye (1517)#Sancak (1520)#Sancak (1660)#Sancak (1865)#Sancak (1888)#SafedArap vilâyeti#Şam eyâleti#Sayda eyâleti#Suriye vilâyeti#Beyrut vilâyeti#
AKKAR ,آکار ,Nahiye (1517)#Kaza (1847)#Kaza (1865)#Kaza (1888)#TrablusArap vilâyeti#TrablusşamSayda eyâleti#Suriye vilâyeti#Beyrut vilâyeti#
AKKAYA (Yaka) ,آق قيا ,Kaza (1841)#Nahiye (1865)#Nahiye (1924)#SinopKastamonu eyâleti#MerkezKastamonu Kastamonu vilâyeti#MerkezKastamonu#
AKKIŞLA (Kuzugüdenli) ,آق قشله ,Nahiye (1865)#Nahiye#Nahiye (1911)#Kaza (1990)#AziziyeSivasSivas vilâyeti#BünyanSivasSivas vilâyeti#BünyanKayseri#Kayseri#
AKKİRMAN (Belgorod-Dinestrouski) ,آق کيرمان ,Sancak#Sancak (1593)#Sancak#Sancak (1812)#Rumeli eyâleti#.zü eyâleti#Silistre eyâleti#Rusya#
AKKİSİ ,آق کيسی ,Kaza (Şimdiki yeri#belirlenemedi.)#SiirtDiyarbakır eyâleti#
AKKÖPRÜ (Şimdiki yeri belirlenemedi.) ,آق کوپری ,Nahiye GeredeBoluKastamonu vilâyeti#
AKKÖPRÜ ,آق کوپری ,Kaza (1849)#Nahiye (1867)#Köy#AnkaraBozok eyâleti#MihallıççıkAnkaraAnkara vilâyeti#BeylikahırMihallıççıkEskişehir#
AKKÖY ,آق کوی ,Kasaba#Kaza (1990)#MerkezMerkezDenizli#Denizli#
Akköy (BULANCAK) ,آق کوی ,Köy#Nahiye#Nahiye (1868)#Nahiye (1924)#Kaza (1934)#KebsilOrduCanikRum eyâleti#OrduOrduTrabzon eyâleti#GiresunTrabzonTrabzon vilâyeti#MerkezGiresun#Giresun#
AKKÖY ,آق کوی ,Nahiye (Bu nahiye#bölgesinde Didim ilçesi#kuruldu ve nahiyenin köyleri#yeni ilçeye bağlandı.)#SökeAydın#
AKKUŞ (Karakuş) (Yazlıkbelen) ,آق قوش ,Kaza#Kaza#Nahiye (1892)#Nahiye (1920)#Kaza (1954)#OrduSivas eyâleti#OrduTrabzon eyâleti#ÜnyeCanikTrabzon vilâyeti#ÜnyeOrdu#Ordu#
AKMESCİT (Simferopol) ,آق مسجد ,Eyâlet Mrk.#Şehir (Yarımadanın merkezinde#Kırım Tatar Hanlığı zamanında#kurulmuş.)#Kırım eyâleti (hanlığı)#Rusya#
AKMEŞE (Armişe) ,آق ميشه ,Nahiye (1878)#Nahiye (1920)#MerkezİzmitŞehremâneti#MerkezKocaeli#
AKOVA (Bjelopolje) ,آق اووه ,Kaza (1580)#Kaza (1877)#Kaza (1913)#YenipazarBosna eyâleti#YenipazarKosova vilâyeti#Karadağ C. Yugoslavya#
AKÖREN (Akviran) ,آق ويران ,Nahiye (1865)#Köy#MerkezAmasyaSivas vilâyeti#MerkezSuluovaAmasya#
AKÖREN (Akviran) ,آق ويران ,Nahiye#Köy#AziziyeSivasSivas vilâyeti#KaynarPınarbaşıKayseri#
AKÖREN (Akviran) ,آق ويران ,Nahiye Mrk. MollafeneriGebzeKocaeli#
AKÖREN (Akviran) ,آق ويران ,Nahiye (1926)#Kaza (1990)#ÇumraKonya#Konya#
AKPALANKA (Arzerpalanka) ,آق پلانقه ,Kasaba (1864)#Kasaba#MerkezVidinTuna vilâyeti#Romanya#
AKPAZAR (Çarsancak) (Peri) ,آق بازار ,Kaza (1846)#Kaza (1855)#Kaza (1877)#Nahiye (1926)#Nahiye (1935) (Sancak iken#merkezi “Pertek” idi. Şimdiki#merkezine kaza olunca taşındı.)#Diyarbakır eyâleti#HarputDiyarbakır eyâleti#DersimMam.retülaziz vilâyeti#MazgirtElâzığ#MazgirtTunceli#
AKPINAR (Hanakpınar) ,آق پيگار ,Nahiye#Kaza (1937)#MerkezDiyarbakır#Diyarbakır#
AKPINAR (Kuşkayası) ,آق پيگار ,Nahiye KangalSivas#
AKPINAR ,آق پيگار ,Nahiye#Kaza (1990)#KamanKırşehir#Kırşehir#
AKPINAR ,آق پيگار ,Nahiye MerkezAdıyaman#
AKPINAR (Bel-izvar) ,آق پيگار ,Nahiye (1865)#Nahiye (1919)#EğridereGümülcineEdirne vilâyeti#EğridereGümülcineYunanistan#
AKRA ,عقره ,Kaza#Kaza#MusulBağdad vilâyeti#MusulIrak#
AKRKOF ,عقرقوف ,Kaza BağdadBağdad maa Şehrizor eyâleti#
AKSAKAL ,آق صقال ,Nahiye (1957) BandırmaBalıkesir#
AKSARAY ,آق سرای ,Sancak (1525)#Kaza (1865)#Müstakil sancak#Vilâyet (1924)#Kaza (1933)#Vilâyet (1989)#Karaman eyâleti#NiğdeKonya vilâyeti#Aksaray sancağı#Aksaray#Niğde#Aksaray#
AKSAZ ,آقساز ,Nahiye (16.yy.) AnamurİçilKaraman eyâleti#
AKSAZ ,آقساز ,Nahiye (16.yy.)#Köy#MerkezAlâiyeAnadolu eyâleti#MerkezManavgatAntalya#
AKSEKİ (Nevahi-i Alâiye) (Marulya) ,آقسکی ,Nahiye (16.yy.)#Kaza (1846)#Kaza (1868)#Kaza (1924)#MerkezAlâiyeAnadolu eyâleti#AlâiyeKaraman#TekeKonya vilâyeti#Antalya#
AKSU (Anamas) ,آقصو ,Nahiye#Nahiye (1924)#Kaza (1990)#EğirdirHamidAnadolu eyâleti#EğirdirIsparta#Isparta#
AKSU (Macun) ,آقصو ,Nahiye MerkezAntalya#
AKSU ,آقصو ,Şehir Doğu Türkistan#
AKŞAR ,آقشار ,Nahiye (1865)#Köy#SuşehriK.Hisar-ı ŞarkîSivas vilâyeti#MerkezSuşehriSivas#
AKŞAR (Kosor) ,آقشار ,Nahiye#Nahiye (1946)#OltuErzurum#ŞenkayaErzurum#
AKŞAR (Hakif) (Şiriz) ,آقشار ,Nahiye (1878)#Nahiye (1935)#HizanBitlisBitlis vilâyeti#HizanBitlis#
AKŞEHİR ,آقشهر ,Sancak (1381)#Sancak (1402)#Kaza (1864)#Kaza (1924)#Anadolu eyâleti#Karaman eyâleti#KonyaKonya vilâyeti#Konya#
AKŞEHİRÂBÂD ,آقشهر آباد ,Nahiye (Suşehri ovası#olmalıdır.)#MerkezK.Hisar-ı ŞarkîRum eyâleti#
AKTAŞ (Zobran) ,آقطاش ,Kaza (1841)#Nahiye (1924)#Nahiye (Merkezi olan#Zobran dahil tüm köyleri#Karabük Merkez bucağında.#Aktaş nahiyesi lağvedilerek#Bu bölgede “Karabük”#kurulmuştur.)#ViranşehirKastamonu eyâleti#SafranboluKastamonuKastamonu vilâyeti#SafranboluZonguldak#
AKTEPE ,آق تپه ,Nahiye Mrk. SarısuPatnosAğrı#
AKTUZLA ,آقطوزله ,Nahiye MalazgirtMuş#
AKYAKA (Şuragel) (Kızılçakçak) ,آقيقا ,Kaza#Nahiye (1926)#Kaza (1990)#KarsErzurum eyâleti#ArpaçayKars#Kars#
AKYAZI ,آقيازی ,Kaza#Nahiye (1878)#Kaza (1944)#Kaza (1954)#HudanvendigârAnadolu eyâleti#HendekİzmitŞehremâneti#Kocaeli#Sakarya#
AKYURT (Ravlı) ,آقيورد ,Nahiye#Kaza (1990)#ÇubukAnkara#Ankara#
AKZİYARET (Cülmen) ,آق زيارت ,Nahiye MerkezŞanlıurfa#
ALÂ ,علا ,Nahiye (1865) MerkezHamaSuriye vilâyeti#
