İdârî Birimin Yeni Harflerle Adı 1	İdârî Birimin Yeni Harflerle Adı 2	İdârî Birimin Yeni Harflerle Adı 3	İdârî Birimin Yeni Harflerle Adı 4	İdârî Birimin Yeni Harflerle Adı 5	İdârî Birimin Yeni Harflerle Adı note	Eski Harflerle Adı	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli 1 4	Bagli 1 3	Bagli 1 2	Bagli 1 1	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 4	Bagli 2 3	Bagli 2 2	Bagli 2 1	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 4	Bagli 3 3	Bagli 3 2	Bagli 3 1	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 3	Bagli 4 2	Bagli 4 1	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 3	Bagli 5 2	Bagli 5 1	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 2	Bagli 6 1	Unvan 7	Unvan 7 year	Unvan 7 note	Bagli 7 2	Bagli 7 1	Unvan 8	Unvan 8 year	Unvan 8 note	Bagli 8 2	Bagli 8 1	Unvan 9	Unvan 9 year	Bagli 9 3	Bagli 9 2	Bagli 9 1	Unvan 10	Unvani 10 year	Bagli 10 2	Bagli 10 1	Unvan 11	Unvani 11 year	Bagli 11 2	Bagli 11 1	Unvan 12	Bagli 12	Unvan 13	Bagli 13	Unvan 14	Unvan 14 year	Bagli 14
ADAKSU	Şebboy					آداقصو	Köy				Sultanmud	Malazgirt	Bitlis	Nahiye merkezi				Karahasan	Malazgirt	Muş																																																						
Adala	KARATAŞ					آطله	Kaza	~1530				Saruhan	Anadolu eyâleti	Nahiye	1882				Salihli	Manisa																																																						
ADALAR	Büyükada					آطه لر	Sancak	1878					Şehremâneti	Kaza						Şehremâneti	Kaza	1909					İstanbul																																															
ADANA						آطنه (ادنه)	Sancak	1517					Arap vilâyeti	Sancak	1520					Halep eyâleti	Eyâlet	1608					Adana eyâleti	Sancak	1865				Halep vilâyeti	Vilâyet	1869				Adana vilâyeti																																			
ADAÖREN	Adaviran					آطه ويران	Nahiye					Beypazarı	Ankara	Köy				Merkez	Beypazarı	Ankara																																																						
ADAPAZARI	Ada					آطه پازاری	Kaza	~1530				Kocaeli	Anadolu eyâleti	Kaza	1878				Kocaeli	Şehremâneti	Kaza	1924					Kocaeli	Vilâyet merkezi	1954				Sakarya																																									
ADEM						آدم	Nahiye		Bahreyn ve Umman’da da bu adda nahiyeler vardır			Hicaz	S. Arabistan																																																													
ADEN						عدن	Sancak	1539				Taizz	Yemen eyâleti	Kaza	1630				Taizz	Yemen eyâleti																																																						
ADESSE	Vodina					آدسّه	Kaza				Selânik	Selânik	Yunanistan																																																													
ADIYAMAN	Hısn-ı Mansur					آدی يامان	Kaza	1924					Malatya	Vilâyet	1954					Adıyaman																																																						
ADİD						عديد	Nahiye	1875			Katar	Basra	Basra vilâyeti																																																													
ADİLCEVAZ						عادلجواز	Sancak	1550					Van eyâleti	Kaza	1846				Van	Van eyâleti	Kaza	1912				Van	Van vilâyeti	Nahiye	1926			Ahlat	Bitlis	Kaza	1936				Bitlis																																			
ADLİYE						عدليه	Kaza	1864				Vidin	Tuna vilâyeti																																																													
Adranos	ORHANELİ					آطرانوس	Kaza					Hudavendigâr	Anadolu eyâleti	Kaza	1867				Bursa	Hudavendigâr vilâyeti	Kaza	1924					Bursa																																															
ADRİYA						آدريا	Şehir					Venedik	İtalya																																																													
AFAR						عفار	Nahiye	1871			Hıcce	Sana	Yemen vilâyeti																																																													
Afgan	GÜNDOĞAN					افغان	Nahiye	1865			Karaman	Konya	Konya vilâyeti	Köy				Bucakkışla	Merkez	Karaman																																																						
AFŞAR						آفشار	Kaza	~1530				Hamid	Anadolu eyâleti	Nahiye	1865				Şarkikaraağaç	Konya vilâyeti	Köy				Merkez	Gelendost	Isparta																																															
AFŞAR	Avşar					آفشار	Nahiye	1865			Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	Köy				Akıncılar	Suşehri	Sivas																																																						
AFŞİN	Yarpuz, Efsus					آفشين	Nahiye					Elbistan	Maraş	Kaza	1944					Kahramanmaraş																																																						
AFYONKARAHİSAR	Afyon	Karahisar-ı Sahib			Osmanlı döneminde Karahisar-ı Sahib, Cumhuriyetle birlikte Afyonkarahisar, bir müddet sonra Afyon, 2005 yılında yine Afyonkarahisar denildi.	آفيون قره حصار	Sancak	1428					Anadolu eyâleti	Sancak	1841					Hudavendigâr eyâleti	Sancak	1867					Hudavendigâr vilâyeti	Vilâyet	1924				Afyonkarahisar																																									
AĞABEYLİ	Bertiz					آغا بکلی	Nahiye					Merkez	Kahramanmaraş																																																													
AĞAÇELİ	Ilıcalar, Fahran					آغاچ ايلی	Nahiye					Merkez	Bingöl																																																													
AĞAÇLI	Çıska, Cıksı					آغاچلی	Nahiye	19. yy.			Merkez	Âmid	Diyarbakır eyâleti	Nahiye	1924				Kulp	Diyarbakır vilâyeti																																																						
AĞAÇLI						آغاچلی	Kaza	1887				Kocaeli	Hudavendigâr vilâyeti																																																													
AĞAÇÖREN	Panlı					آغاچ اوره ن	Nahiye	1924				Şereflikoçhisar	Aksaray	Nahiye	1933				Şereflikoçhisar	Ankara	Kaza	1990					Aksaray																																															
AĞAKİS						آغاکس	Sancak	1550					Van eyâleti	Kaza	1830				Van	Van eyâleti																																																						
AĞCALAR ve ASKER						آغجه لر و عسکر	Nahiye				Merkez	Süleymaniye	Bağdad eyâleti																																																													
AĞCALAR	Kale-i Sebûke					آغجه لر	Nahiye					Bazyan	Musul vilâyeti																																																													
AĞIN						آغين	Nahiye	19. yy.			Merkez	Arapkir	Diyarbakır eyâleti	Nahiye				Kemaliye	Malatya	Mamûretülaziz vilâyeti	Kaza	1954					Elâzığ																																															
AĞLASUN						آغلاسون	Kaza	~1530				Hamid	Anadolu eyâleti	Kaza	1846				Hamid	Karaman eyâleti	Nahiye	1865			Merkez	Burdur	Konya vilâyeti	Kaza	1958				Burdur																																									
AĞLI						آغلی	Nahiye					Küre	Kastamonu	Kaza	~1990					Kastamonu																																																						
Agonya	HAMDİBEY	Koyuneli				آغونيه	Nahiye	~1530			Balya	Biga	Anadolu eyâleti	Nahiye	1909				Edremit	Karesi sancağı	Nahiye		Agonya nahiyesi lağvedilmiş, Mrk. olan Koyuneli k.yü halen Yenice’nin Hamdibey bucağıdır.			Edremit	Balıkesir																																															
AĞRI	Karaköse					آغری	Vilâyet	1938	~1925’te bu bölgede Bayazıt Vilâyeti kuruldu. Vilâyet merkezi 1927’de Karaköse’ye taşınınca Karaköse adını aldı. 1938’de adı Ağrı oldu.				Ağrı																																																													
AĞRIBOZ	Eğriboz	Eubee			Ege’de Girit’ten sonra ikinci büyük ada, 1821’de kaybedildi.	آغريبوز	Sancak	1470					Rumeli eyâleti	Sancak	1533					Kaptanpaşa eyâleti	Eyâlet	1829					Yunanistan																																															
Ağrus	ATABEY					آغروس	Nahiye	~1530			Eğirdir	Hamid	Anadolu eyâleti	Nahiye	1865			Merkez	Hamid	Konya vilâyeti	Nahiye	1924				Merkez	Isparta	Kaza					Isparta																																									
Ağunsos	ÇAYIRÖZÜ					آغنصوص	Nahiye	1865			Bayburt	Erzurum	Erzurum vilâyeti	Köy					Merkez	Bayburt Gümüşhane	Köy				Merkez	Merkez	Bayburt																																															
AĞUSTOS	Niyaoste					آغوستوس	Nahiye				Karaferye	Selânik	Yunanistan																																																													
Ağva	YEŞİLÇAY					آغوا	Nahiye	1926				Şile	İstanbul																																																													
Ağvanis	GÖLOVA					آغوانيس	Nahiye	1867			Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	Nahiye	1924				Suşehri	Şebinkarahisar	Nahiye	1933				Suşehri	Sivas vilâyeti	Kaza	1990				Sivas																																									
AHALT						آحلت	Kaza merkezi	1950				Yusufeli	Artvin																																																													
AHAT						احد	Nahiye	1865			Sultaniye	Gümülcine	Edirne vilâyeti	Nahiye	1919			Sultaniye	Gümülcine	Yunanistan																																																						
AHEM						عا هم	Nahiye	1871			Hacur	Hudeyde	Yemen vilâyeti																																																													
AHILKALAK ve MAÇAHEL						آخالقلاک وماچه خل	Sancak	1578					Çıldır eyâleti																																																													
AHIRLI						آخورلی	Nahiye					Bozkır	Konya	Kaza	1990					Konya																																																						
AHISKA	Ahısha					آخسخه	Eyâlet merkezi	1625					Çıldır eyâleti	Eyâlet merkezi	1828					Rusya yönetimi	Şehir						Gürcistan yönetimi																																															
AHİÇELEBİ	Smoljan	Paşmaklı				آخی چلبی	Kaza	1877				Filibe	Edirne vilâyeti	Kaza					Gümülcine	Edirne	Kaza	1919					Yunanistan																																															
AHLAT						آخلاط	Sancak						Van eyâleti	Sancak merkezi	1800				Adilcevaz	Van eyâleti	Kaza	1846				Van	Van eyâleti	Kaza	1855			Muş	Erzurum eyâleti	Kaza	1880			Bitlis	Bitlis vilâyeti	Kaza	1935			Bitlis																														
AHMETBEY						احمد بک	Nahiye				Lüleburgaz	Kırkkilise	Edirne vilâyeti	Kasaba				Büyükkarıştıran	Lüleburgaz	Kırklareli																																																						
AHMETLER						احمدلر	Nahiye merkezi				Kozcağız	Bartın	Zonguldak																																																													
AHMETLİ						احمدلی	Nahiye					Turgutlu	Manisa	Kaza	~1990	Eski “Ilıca-i Saruhan” kazası bölgesinde kuruldu.)				Manisa																																																						
AHMETLİ	Güran	Pirahmet				احمدلی	Nahiye					Ergani	Diyarbakır																																																													
AHMET SARAY						احمدسرای	Nahiye	1865			Lâdik	Amasya	Sivas vilâyeti	Köy				Merkez	Lâdik	Samsun																																																						
AHSA	Necd-i Şarkî	El-Hufûf				احسا	Eyâlet						Ahsa eyâleti	Sancak	1871					Bağdad vilâyeti	Sancak	1874					Necd vilâyeti	Sancak	1875				Basra vilâyeti	Sancak	1880				Bağdad vilâyeti	Sancak	1884			Basra vilâyeti																														
AHSENDERE						احسن دره	Nahiye		Elbistan’ın güneybatısında ve Kabaktepe köyü civarında idi.		Maraş	Maraş	Zülkadriye eyâleti																																																													
AHTAMAR						آختمار	Ada		Ermeni ruhanî merkezlerinden biri olan Ahtamar manastırı bu adada				Van gölü																																																													
AHTOPOL	Agoto-Polis	Vasiliko				آخته پولی	Kaza	1865				Kırkkilise	Edirne	Kaza	1913				Burgaz	Bulgaristan																																																						
AHYOLU	Poromorie					آخيولی	Kaza					Burgaz	Bulgaristan																																																													
Ahyolu Burgazı	BURGAZ					آخيولی بورغازی	Sancak	1878					Rumeli-i Şarkî vilâyeti	Sancak	1908					Bulgaristan																																																						
Akâbâd	AKÇAOVA					آق آباد	Kaza	~1845				Kocaeli	Hudavendigâr eyâleti	Nahiye	1878			Kandıra	İzmit	Şehremâneti	Nahiye	1924				Kandıra	Kocaeli																																															
AKABE	Kal‘atü‘l-Akabe	Akabetü‘l-Eyle				عقبه	Nahiye				El-Vech	Medine	Hicaz vilâyeti	Kaza	~1910					Hicaz vilâyeti	Kaza		Kızıldeniz kenarında antik “Eyle” kentine giriş boğazında olduğu için “Akabe-i Eyle” denildi sonra yalnız “Akabe” s.zü kullanıldı.				Ürdün																																															
AKARSU	İstilil					آقارصو	Nahiye					Nusaybin	Mardin																																																													
AKARSU	Alakilise					آقارصو	Nahiye	1865			Refahiye	Erzincan	Erzurum vilâyeti	Nahiye	1924				Refahiye	Erzincan																																																						
AKÇAÂBÂD	Polathane					آقچه آباد	Nahiye				Merkez	Trabzon	Rum eyâleti	Kaza					Trabzon	Trabzon eyâleti	Kaza	1924					Trabzon																																															
Akçaâbâd	AKÇAOVA					آقچه آباد	Nahiye				Ayasuluğ	Aydın	Anadolu eyâleti	Nahiye					Çine	Aydın																																																						
AKÇADAĞ	Arga					آقچه طاغ	Nahiye				Merkez	Malatya	Mamûretülaziz	Kaza	1834					Harput eyâleti	Kaza	1855					Diyarbakır eyâleti	Kaza	1877				Mamûretülaziz vilâyeti	Kaza	1924				Malatya																																			
AKÇAHİSAR						آقچه حصار	Nahiye		Şimdiki yeri tesbit edilemedi. Manavgat’ın “Hisar” mahallesi var.		Manavgat	Alâiye	Anadolu eyâleti																																																													
AKÇAHİSAR	Krupa					آقچه حصار	Kaza	1881				İşkodra	İşkodra vilâyeti	Kaza					Dıraç	İşkodra vilâyeti																																																						
AKÇAKALE						آقچه قلعه	Sancak	1520					Diyarbakır eyâleti	Köy				Merkez	Ergani	Diyarbakır																																																						
AKÇAKALE						آقچه قلعه	Nahiye					Hısn-ı keyf ve Siird	Diyarbakır																																																													
AKÇAKALE					Harran bölgesinde kuruldu. Harran da nahiye olarak bu kazaya bağlandı.	آقچه قلعه	Köy				Merkez	Harran	Urfa	Kaza	1946					Şanlıurfa																																																						
AKÇAKENT						آقچه کند	Nahiye					Çiçekdağı	Kırşehir	Kaza	~1990					Kırşehir																																																						
AKÇAKIŞLA	Ağcakışla					آقچه قشله	Nahiye					Şarkışla	Sivas																																																													
AKÇAKOCA	Akçaşehir					آقچه قوجه	Nahiye	1870-1933				Düzce	Bolu	Kaza	1934					Bolu	Kaza	1999					Düzce																																															
AKÇAKOYUNLU	Haral					آقچه قويونلی	Nahiye				Ayıntab	Halep	Halep vilâyeti	Köy				Doğanpınar	Oğuzeli	Gaziantep																																																						
AKÇAN	Mercimekkale	Sakavî				آقچان	Nahiye				Merkez	Muş	Bitlis	Nahiye	1924				Merkez	Muş																																																						
AKÇAOVA	Akçaâbâd					آقچه اووه	Nahiye	~1530			Ayasuluğ	Aydın	Anadolu eyâleti	Nahiye	1924				Çine	Aydın																																																						
AKÇAOVA	Akçaâbâd					آقچه اووه	Nahiye					Kandıra	Kocaeli																																																													
AKÇAPINAR	Vaskovan					آقچه پيگار	Nahiye	1777			Çemişgezek	Dersim	Mamûretülaziz	Nahiye	1926				Çemişgezek	Elâzığ	Nahiye	1935				Çemişgezek	Tunceli																																															
AKÇASIR	Aygün					آقچه سير	Nahiye					Kulp	Diyarbakır																																																													
Akçaşehir	SÖKE					آقچه شهر	Sancak merkezi	17. yy.				Sığla	Kaptanpaşa eyâleti	Kaza	1841				Sığla	Aydın eyâleti	Kaza	1867				Sığla	Aydın vilâyeti	Kaza	1924				Aydın																																									
Akçaşehir	AKÇAKOCA					آقچه شهر	Kaza	1841				Bolu	Kastamonu eyâleti	Nahiye	1865			Düzce	Bolu	Kastamonu vilâyeti	Nahiye	1933				Düzce	Bolu	Kaza	1934				Bolu	Kaza	1999				Düzce																																			
AKÇAŞEHİR						آقچه شهر	Kasaba				Merkez	Karaman	Konya	Kasaba		Eyâlet döneminde Eskiil ve Hatinderbendi ile ü.ü bir kaza oluşturmuştur.			Merkez	Karaman																																																						
AKÇAY maa TERME						آقچای مع ترمه	Kaza	1585				Canik	Trabzon eyâleti																																																													
AKÇAY						آقچای	Köy				Merkez	Terme	Samsun																																																													
AKÇAY	Kaşçiftliği					آقچای	Nahiye	1958				Elmalı	Antalya																																																													
Akdağ	Çayırşeyhi	ÇAYIRALAN				آقطاغ	Nahiye	16. yy.			Bozok	Bozok	Zülkadriye eyâleti	Nahiye	1872			Boğazlıyan	Yozgat	Ankara vilâyeti	Nahiye	1924				Boğazlıyan	Yozgat	Kaza	1948				Yozgat																																									
AKDAĞ	Zana=Çiğdemlik					آقطاغ	Nahiye				Merkez	Amasya	Rum eyâleti	Nahiye	1924				Merkez	Amasya																																																						
AKDAĞMADENİ						آقطاغ معدنی	Nahiye	1830				Bozok	Sivas eyâleti	Kaza	1860				Bozok	Bozok eyâleti	Kaza	1872				Yozgat	Ankara vilâyeti	Kaza	1924				Yozgat																																									
AKDEMİR Şavak	Abşeker					آقدمير	Nahiye	1877			Pertek	Dersim	Mamûretülaziz vilâyeti	Nahiye	1924				Pertek	Elâzığ	Nahiye	1935				Pertek	Tunceli																																															
AKFAS						اقفاص	Kasaba						Mısır eyâleti																																																													
Akgevir	AKSU					آقگوير	Nahiye				Merkez	Diyarbakır	Diyarbakır	Köy				Merkez	Mazıdağı	Mardin																																																						
AKHİSAR	Bogovina	İskovile=Vakıf				آقحصار	Kaza	1866				Travnik	Bosna vilâyeti																																																													
Akhisar	PAMUKOVA					آقحصار	Kaza					Hudavendigâr	Anadolu eyâleti	Nahiye	1878			Geyve	İzmit	Şehremâneti	Nahiye	1954				Geyve	Sakarya	Kaza	~1990				Sakarya																																									
AKHİSAR						آقحصار	Kaza					Saruhan	Anadolu eyâleti	Kaza	1841				Saruhan	Aydın eyâleti	Kaza	1924					Manisa																																															
AKINCI	Kasır					آقنجی	Nahiye					Merkez	Mardin																																																													
AKINCILAR	Ezbider	Ezbider-i Bâlâ				آقنجيلر	Nahiye	1924			Suşehri	Karahisar-ı Şarkî	Sivas	Nahiye	1933				Suşehri	Sivas	Kaza	~1990					Sivas																																															
AKINCILAR	Tokaris					آقنجيلر	Nahiye	1877			Kâhta	Malatya	Mamûretülaziz vilâyeti	Nahiye	1924				Kâhta	Malatya	Nahiye	1954				Kâhta	Adıyaman																																															
Akıncılar	SELÇUK					آقنجيلر	Nahiye					Kuşadası	İzmir	Kaza	1957	Bir müddet “Akıncılar” adıyla anılan Selçuk, 1957’de yine “Selçuk” adıyla kaza oldu.)				İzmir																																																						
AKKA						عکا	Nahiye	1517				Safed	Arap vilâyeti	Sancak	1520					Şam eyâleti	Sancak	1660					Sayda eyâleti	Sancak	1865				Suriye vilâyeti	Sancak	1888				Beyrut vilâyeti																																			
AKKAR						آکار	Nahiye	1517				Trablus	Arap vilâyeti	Kaza	1847				Trablusşam	Sayda eyâleti	Kaza	1865					Suriye vilâyeti	Kaza	1888				Beyrut vilâyeti																																									
AKKAYA	Yaka					آق قيا	Kaza	1841				Sinop	Kastamonu eyâleti	Nahiye	1865			Merkez	Kastamonu	Kastamonu vilâyeti	Nahiye	1924				Merkez	Kastamonu																																															
AKKIŞLA	Kuzugüdenli					آق قشله	Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	Nahiye				Bünyan	Sivas	Sivas vilâyeti	Nahiye	1911				Bünyan	Kayseri	Kaza	~1990				Kayseri																																									
AKKİRMAN	Belgorod-Dinestrouski					آق کيرمان	Sancak						Rumeli eyâleti	Sancak	1593					Özü eyâleti	Sancak						Silistre eyâleti	Sancak	1812				Rusya																																									
AKKİSİ						آق کيسی	Kaza		Şimdiki yeri belirlenemedi.			Siirt	Diyarbakır eyâleti																																																													
AKKÖPRÜ					Şimdiki yeri belirlenemedi.	آق کوپری	Nahiye				Gerede	Bolu	Kastamonu vilâyeti																																																													
AKKÖPRÜ						آق کوپری	Kaza	~1849				Ankara	Bozok eyâleti	Nahiye	1867			Mihalıççık	Ankara	Ankara vilâyeti	Köy				Beylikahır	Mihalıççık	Eskişehir																																															
AKKÖY						آق کوی	Kasaba				Merkez	Merkez	Denizli	Kaza	~1990					Denizli																																																						
Akköy	BULANCAK					آق کوی	Köy			Kebsil	Ordu	Canik	Rum eyâleti	Nahiye				Ordu	Ordu	Trabzon eyâleti	Nahiye	1868			Giresun	Trabzon	Trabzon vilâyeti	Nahiye	1924			Merkez	Giresun	Kaza	1934				Giresun																																			
AKKÖY						آق کوی	Nahiye		Bu nahiye bölgesinde Didim ilçesi kuruldu ve nahiyenin köyleri yeni ilçeye bağlandı.			Söke	Aydın																																																													
AKKUŞ	Karakuş	Yazlıkbelen				آق قوش	Kaza					Ordu	Sivas eyâleti	Kaza					Ordu	Trabzon eyâleti	Nahiye	1892			Ünye	Canik	Trabzon vilâyeti	Nahiye	1920			Ünye	Ordu	Kaza	1954				Ordu																																			
AKMESCİT	Simferopol					آق مسجد	Eyâlet merkezi						Kırım eyâleti (hanlığı)	Şehir		Yarımadanın merkezinde Kırım Tatar Hanlığı zamanında kurulmuş.				Rusya																																																						
AKMEŞE	Armişe					آق ميشه	Nahiye	1878			Merkez	İzmit	Şehremâneti	Nahiye	1920				Merkez	Kocaeli																																																						
AKOVA	Bjelopolje					آق اووه	Kaza	1580				Yenipazar	Bosna eyâleti	Kaza	1877				Yenipazar	Kosova vilâyeti	Kaza	1913				Karadağ C.	Yugoslavya																																															
AKÖREN	Akviran					آق ويران	Nahiye	1865			Merkez	Amasya	Sivas vilâyeti	Köy				Merkez	Suluova	Amasya																																																						
AKÖREN	Akviran					آق ويران	Nahiye				Aziziye	Sivas	Sivas vilâyeti	Köy				Kaynar	Pınarbaşı	Kayseri																																																						
AKÖREN	Akviran					آق ويران	Nahiye merkezi				Mollafeneri	Gebze	Kocaeli																																																													
AKÖREN	Akviran					آق ويران	Nahiye	1926				Çumra	Konya	Kaza	~1990					Konya																																																						
AKPALANKA	Arzerpalanka					آق پلانقه	Kasaba	1864			Merkez	Vidin	Tuna vilâyeti	Kasaba						Romanya																																																						
AKPAZAR	Çarsancak	Peri				آق بازار	Kaza	1846					Diyarbakır eyâleti	Kaza	1855				Harput	Diyarbakır eyâleti	Kaza	1877				Dersim	Mamûretülaziz vilâyeti	Nahiye	1926			Mazgirt	Elâzığ	Nahiye	1935	Sancak iken merkezi “Pertek” idi. Şimdiki merkezine kaza olunca taşındı.)		Mazgirt	Tunceli																																			
AKPINAR	Hanakpınar					آق پيگار	Nahiye					Merkez	Diyarbakır	Kaza	1937					Diyarbakır																																																						
AKPINAR	Kuşkayası					آق پيگار	Nahiye					Kangal	Sivas																																																													
